id,display_name,type,primary_unit_id,primary_unit_title,unit_ids,unit_titles,unit_count,phrase_components
chocolate,Chocolate,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
christmas,Christmas,word,p1-u49,Friends & Holidays,p1-u49,Friends & Holidays,1,
church,Church,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
class,Class,word,p1-u57,School & Classroom,p1-u57,School & Classroom,1,
clean,Clean,word,p1-u32,At Home,p1-u32,At Home,1,
clock,Clock,word,p1-u31,Furniture,p1-u31,Furniture,1,
clothes,Clothes,word,p1-u50,Clothes & Accessories,p1-u50,Clothes & Accessories,1,
cloud,Cloud,word,p1-u63,Weather,p1-u63,Weather,1,
coffee,Coffee,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
cold,Cold,word,p1-u29,Size & Amount,p1-u29;p1-u63,Size & Amount;Weather,2,
comb,Comb,word,p1-u32,At Home,p1-u32,At Home,1,
come,Come,word,p1-u23,On the Move,p1-u23,On the Move,1,
commute,Commute,word,p1-u56,Getting There,p1-u56,Getting There,1,
computer,Computer,word,p1-u69,Devices & Apps,p1-u69,Devices & Apps,1,
confident,Confident,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
congratulations,Congratulations,word,p1-u01,Getting Started,p1-u01,Getting Started,1,
cook,Cook,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
cool,Cool,word,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,
corn,Corn,word,p1-u35,Fruits & Veggies,p1-u35,Fruits & Veggies,1,
cost,Cost,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
couch,Couch,word,p1-u31,Furniture,p1-u31,Furniture,1,
cough,Cough,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
cousin,Cousin,word,p1-u18,Family & People,p1-u18,Family & People,1,
cow,Cow,word,p1-u60,Animals,p1-u60,Animals,1,
curious,Curious,word,p1-u06,Feelings & Emotions,p1-u06,Feelings & Emotions,1,
d,D,word,p1-u10,The Alphabet,p1-u10,The Alphabet,1,
dance,Dance,word,p1-u66,Music & Art,p1-u66,Music & Art,1,
dark,Dark,word,p1-u27,Colors,p1-u27,Colors,1,
day,Day,word,p1-u40,Time & Calendar,p1-u40,Time & Calendar,1,
deaf,Deaf,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
deafculture,Deaf Culture,word,p1-u22,Deaf Culture,p1-u22,Deaf Culture,1,
delicious,Delicious,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
different,Different,word,p1-u08,Connect Ideas,p1-u08,Connect Ideas,1,
dinner,Dinner,word,p1-u37,Food & Drinks,p1-u37,Food & Drinks,1,
dizzy,Dizzy,word,p1-u42,Body & Wellness,p1-u42,Body & Wellness,1,
doctor,Doctor,word,p1-u45,Health & Town,p1-u45,Health & Town,1,
dog,Dog,word,p1-u60,Animals,p1-u60,Animals,1,
doing,Doing,word,p1-u05,Meet People,p1-u05;p1-u24;p1-u59,Meet People;Everyday Actions;Work Life,3,
dontknow,Don't Know,phrase,p1-u02,Everyday Replies,p1-u02,Everyday Replies,1,i;know
door,Door,word,p1-u31,Furniture,p1-u31,Furniture,1,
double,Double,word,p1-u17,Money & Counting,p1-u17,Money & Counting,1,
down,Down,word,p1-u23,On the Move,p1-u23,On the Move,1,
